Question,Correct Answer,Score,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3,Wrong Answer 4,Wrong Answer 5
"What is the main feature of our new mobile banking app?","Biometric authentication and instant transfers",25,"Cash withdrawal only","Foreign currency exchange","Loan processing system"
"Which Islamic banking principle does our product follow?","Sharia-compliant profit sharing",25,"Interest-based lending","Fixed deposit returns","Conventional banking methods"
"What is the maximum daily transfer limit for individual accounts?","PKR 500,000",25,"PKR 100,000","PKR 1,000,000","No limit"
"Which document is required for account opening?","CNIC and proof of income",20,"Only CNIC","Passport only","No documents required","Just a phone number"
"What is DIB's main value proposition?","Service & Quality",15,"Profit maximization","Market dominance","Fastest transactions"
"How many branches does DIB have in Pakistan?","50+",10,"Less than 10","Exactly 25","More than 200"
"What type of accounts does DIB offer?","Savings, Current, and Investment accounts",20,"Only savings accounts","Only current accounts","Only investment accounts"
"What is the minimum age requirement to open an account?","18 years",15,"16 years","21 years","25 years","No minimum age"
"Which mobile app feature is most popular among DIB customers?","Fund transfers and bill payments",20,"Account statement downloads","Branch locator","Customer support chat"
"What is the customer service helpline number?","021-111-342-342",10,"021-111-111-111","042-111-342-342","051-111-342-342"